Corps Name,Type,Contact Person,Email,Phone,Website,City,State,Zip,Address,Latitude,Longitude
"Valley Thunder","Performance Ensemble, Mini Corps","Matthew","valleythunderdbc@gmail.com","(914) 424-3149","","Seymour","CT","06483","P.O. Box 214",41.3851,-73.0834
"Hamburg Kingsmen Alumni","Performance Ensemble, Alumni Corps","Paul","paul651@verizon.net","(716) 523-7567","","","","","",,
"Latrobe Music Center","Performance Ensemble, Soundsport","Randall","latrobemusiccenter@gmail.com","(412) 601-0152","","LATROBE","PA","15650","602 Alexandria St",40.319309,-79.384596
"Sky Ryders","Performance Ensemble, Soundsport","Sky Ryders","skyrydersinformation@dci.org","(920) 737-3986","web.archive.org/web/20260120145801/http://www.skyryders.com/about/foundation","","","","",,
"Alisal Union School District Marching Band","Performance Ensemble, Soundsport","Daniel","daniel@forxa.net","+18317535700","","Salinas","CA","93905","155 Bardin Rd",36.67809,-121.604867
"Jacksonville Drumline Institute","Performance Ensemble, DrumLineBattle","Chip","jacksonvilledrumlineinstitute@gmail.com","(217) 291-4114","","Jacksonville","IL","62650","235 Westminster Street",39.731624,-90.242032
"CADRE Drum Line","Performance Ensemble, DrumLineBattle","Ronald","rmeyers@feldmandaxon.com","(905) 601-6026","","Mississauga","ON, Canada","L5H 3W5","1108 Saginaw Crescent",,
"Blue Saints","Performance Ensemble, Soundsport","Vincent","vinfrap@gmail.com","(705) 507-3102","","Sudbury","ON","P3E4M8","2015 Long Lake Road
P.O. Box 40088",46.45111,-81.00481
"Carolina Gold","Performance Ensemble, Soundsport","Jonathan","executivedirector@carolinagold.org","+13368296271","www.carolinagold.org","Lexington","NC","27295","698 Tobacco Rd",35.966446,-80.277197
"Myrtle Wavez","Performance Ensemble, Soundsport","Myrtle Wavez","myrtlewavezinformation@dci.org","(906) 395-1915","","","","","",,
"Legacy Drum & Bugle Corps","Performance Ensemble, Soundsport","Thomas","tom@dreampaa.org","(201) 788-1935","","Rutherford","NJ","07070","28 Elizabeth St",40.818414,-74.102638
"Kardinal Dreams","Performance Ensemble, DrumLineBattle","Tyriq","kardinaldreams@hotmail.com","(561) 309-1100","","Tallahassee","FL","32304","2677 Old Bainbridge Rd
Apt 1032",30.483969,-84.319691
"Northern Empire Performing Arts","Performance Ensemble, Soundsport","Lisa","director@northernempirearts.ca","780-940-4583","","Edmonton","AB","T5P2P7","10045 156th Street
137",53.54011,-113.58931
"Banda Municipal de San José","Performance Ensemble, Soundsport","Erick","esanchez@msj.go.cr","506 60408463","","San Jose","Los Sitios","10108","Figueres Ferrer Building, av. 10",13.5671,-87.92706
"Mosaic Sound","Performance Ensemble, Soundsport","Bobby","bobbybonslater@gmail.com","(312) 371-9899","","","","","",,
"DrumSpirit","Performance Ensemble, DrumLineBattle","Xander","xander@drumspirit.be","","","Dadizele","Belgium","","",,
"Lutheran Vanguard of Wisconsin","Performance Ensemble, Soundsport","James","jneujahr@fvlhs.org","+19207403924","","Appleton","WI","54913","5300 N Meade Street",44.318384,-88.390645
"High School Affiliated to Beijing Institute of Technology","Performance Ensemble, Soundsport","Lin","lin@joy-intel.com","+8618801016198","","Beijing","","","",39.909,116.3892
"Beijing 57 High School","Corps, International","Lin","lin@joy-intel.com","+8618801016198","","","","","",,
"RCR Alumni Corps","Performance Ensemble, Soundsport","Beau","beau@rivercityrhythm.org","(320) 290-2181","","Monticello","MN","55362","PO Box 515",45.2991,-93.7947
"Rocky Mountain Brassworks","Performance Ensemble, Soundsport","Douglas","harclef@comcast.net","3036903327","","Wheat Ridge","CO","80033","7530 W 38th Ave",39.768797,-105.080104
"RCR Street Club","Performance Ensemble, Soundsport","Beau","beau@rivercityrhythm.org","(320) 290-2181","","Monticello","MN","55362","PO Box 515",45.2991,-93.7947
"Hanover Lancers","Performance Ensemble, Soundsport","Chip","lancerspres@gmail.com","","","Spring Grove","PA","17362","2243 Sinsheim Road",39.87454,-76.86581
"Lake Erie Sound Barbershop Chorus","Performance Ensemble, Soundsport","Brian","bcpraetzel@gmail.com","","","Erie","PA","16510","4715 Reese Rd",42.12922,-80.08506
