kind,judge_id,judge_name,corps_key,corps_name,caption,division,n,mean_residual,raw_mean_residual,shrinkage_mean_residual,se,ci95_low,ci95_high,mean_abs_residual,positive_pct,z,seasons
judge_caption,m-anderson-1,Mike Anderson,,,VP,,38,-0.6299,,-0.5204,0.2223,-1.0656,-0.1942,1.046,0.3947,-2.8335,"2014,2019"
judge_caption,k-turner-1,Ken Turner,,,MB,,34,-0.6403,,-0.5183,0.3247,-1.2767,-0.0039,1.6456,0.5588,-1.9719,"2013,2015,2018,2019,2023"
judge_caption,m-czapinksi-1,Marie Czapinksi,,,CG,,79,-0.5672,,-0.5151,0.1935,-0.9464,-0.1881,1.3092,0.5823,-2.932,"2013,2014,2015,2022"
judge_caption,m-kelly-1,Mickey Kelly,,,CG,,85,-0.5632,,-0.5147,0.1992,-0.9537,-0.1727,1.2895,0.6118,-2.8268,"2013,2014,2015,2016,2017,2018"
judge_caption,j-orefice-1,Juno Orefice,,,GE1,,57,0.5762,,0.5053,0.0637,0.4514,0.701,0.6294,0.9298,9.0482,"2013,2014,2016,2017,2019,2022,2024"
judge_caption,j-denton-1,Joel Denton,,,MB,,96,0.5445,,0.5026,0.064,0.419,0.6699,0.7146,0.8646,8.5067,"2014,2015,2016,2018,2022,2023,2024"
judge_caption,s-chumley-1,Shirl Chumley,,,CG,,57,0.57,,0.4998,0.1263,0.3224,0.8176,0.8889,0.807,4.5117,"2018,2019,2022,2023,2024"
judge_caption,m-tarr-1,Mike Tarr,,,VA,,31,-0.6265,,-0.498,0.3035,-1.2215,-0.0316,1.3854,0.5806,-2.0642,"2022,2023,2024"
judge_caption,c-dillon-1,Christine Dillon,,,CG,,280,0.5122,,0.4979,0.0799,0.3556,0.6687,1.1168,0.8179,6.413,"2013,2014,2015,2016,2017,2018,2019,2022,2023,2025"
judge_caption,m-waymire-1,Mark Waymire,,,MA,,102,0.536,,0.497,0.0771,0.3849,0.687,0.7294,0.8824,6.9537,"2016,2017,2018,2019,2022,2023"
judge_caption,j-gilley-1,Jackie Gilley,,,GE1,,141,0.5221,,0.4941,0.0786,0.368,0.6761,0.8138,0.8014,6.6421,"2013,2014,2015,2017,2018,2019,2023,2024,2025"
judge_caption,c-raichle-1,Chris Raichle,,,VP,,38,-0.5806,,-0.4796,0.3226,-1.2128,0.0517,1.3694,0.6579,-1.7998,"2022,2023,2024,2025"
judge_caption,g-fugett-1,Glenn Fugett,,,MP,,180,-0.5008,,-0.4795,0.1037,-0.7041,-0.2975,1.0472,0.5,-4.8287,"2013,2014,2015,2016,2017,2018,2019,2023,2025"
judge_caption,n-jones-1,Nola Jones,,,MA,,217,-0.4971,,-0.4794,0.092,-0.6775,-0.3167,0.9283,0.4332,-5.4006,"2013,2014,2015,2016,2017,2018,2019,2022,2023,2024,2025"
judge_caption,g-fugett-1,Glenn Fugett,,,MA,,148,-0.5026,,-0.4768,0.1178,-0.7335,-0.2717,0.9049,0.5,-4.2657,"2014,2015,2017,2018,2019,2022,2023,2024,2025"
judge_caption,c-nelson-1,Carl Nelson,,,GE1,,124,0.5057,,0.4751,0.0613,0.3855,0.6259,0.7008,0.8306,8.2445,"2014,2015,2016,2017,2018,2019,2022,2024,2025"
judge_caption,j-mills-1,Jeff Mills,,,MA,,57,0.5258,,0.4611,0.1084,0.3133,0.7383,0.8089,0.8421,4.8492,"2017,2018,2019,2023,2025"
judge_caption,t-wingate-1,Travis Wingate,,,CG,,66,0.5162,,0.4604,0.0747,0.3698,0.6627,0.6807,0.8788,6.9087,"2019,2022,2023,2024"
judge_caption,k-lejeune-1,Kendall LeJeune,,,GE1,,41,0.5431,,0.4544,0.0647,0.4162,0.6699,0.6015,0.9512,8.3926,"2024,2025"
judge_caption,j-denton-1,Joel Denton,,,GE2,,223,0.4668,,0.4506,0.0434,0.3816,0.5519,0.6346,0.8744,10.7446,"2013,2014,2015,2016,2017,2018,2022,2023,2024,2025"
judge_caption,r-saucedo-1,Richard Saucedo,,,GE2,,152,-0.4737,,-0.45,0.1396,-0.7473,-0.2002,0.9814,0.6053,-3.394,"2017,2018,2019"
judge_caption,c-church-1,CHRIS CHURCH,,,VP,,52,0.5081,,0.4404,0.1393,0.2351,0.7812,0.9123,0.8462,3.6476,"2017,2019,2023,2024,2025"
judge_caption,f-miller-1,Frank Miller,,,CG,,32,0.5491,,0.4393,0.087,0.3786,0.7196,0.6102,0.8438,6.3106,"2013,2014"
judge_caption,p-mcgarr-1,Paul McGarr,,,MA,,132,-0.4654,,-0.4388,0.1002,-0.6618,-0.269,0.8689,0.4015,-4.6449,"2013,2014,2015,2016,2017,2019,2022,2024"
judge_caption,j-gilley-1,Jackie Gilley,,,VP,,177,0.4571,,0.4374,0.076,0.3083,0.606,0.8488,0.8362,6.0181,"2013,2016,2017,2018,2019,2022,2023,2024,2025"
judge_caption,d-henderson-1,Doug Henderson,,,CG,,31,0.548,,0.4356,0.091,0.3697,0.7263,0.652,0.8387,6.0229,"2024,2025"
judge_caption,p-hinman-1,Paul Hinman,,,GE2,,74,0.476,,0.4295,0.0504,0.3771,0.5748,0.516,0.8919,9.4373,"2013,2014,2015,2016,2017"
judge_caption,l-eubanks-1,Lynda Eubanks,,,MB,,31,0.5402,,0.4294,0.1067,0.3309,0.7494,0.6729,0.8065,5.0605,"2013,2014,2015"
judge_caption,k-miller-1,Kyle Miller,,,VA,,39,-0.5168,,-0.4289,0.2697,-1.0455,0.0118,1.0503,0.6667,-1.9162,"2016,2018,2023,2024,2025"
judge_caption,c-marra-1,Chris Marra,,,MB,,106,-0.461,,-0.4286,0.1937,-0.8407,-0.0813,1.5024,0.6038,-2.3798,"2016,2018,2019,2022,2023,2024,2025"
judge_caption,c-crotts-1,Cameron Crotts,,,MB,,31,0.5382,,0.4278,0.0475,0.445,0.6314,0.5487,0.9677,11.3224,2013
judge_caption,j-loyde-1,Jager Loyde,,,MA,,52,-0.492,,-0.4264,0.1933,-0.8709,-0.1131,1.115,0.4808,-2.5448,"2022,2023,2024,2025"
judge_caption,j-campbell-1,Jackie Campbell,,,VP,,30,0.5344,,0.4219,0.052,0.4325,0.6363,0.5383,0.9667,10.2802,"2023,2024,2025"
judge_caption,m-griffin-1,Marty Griffin,,,GE2,,33,0.5211,,0.4195,0.0835,0.3575,0.6848,0.6063,0.8485,6.2408,"2013,2016,2017,2023"
judge_caption,b-williams-1,Blair Williams,,,MP,,95,0.4537,,0.4185,0.1078,0.2424,0.6651,0.9509,0.7368,4.2072,"2018,2019,2022,2023,2024,2025"
judge_caption,m-brown-1,Michael Brown,,,MB,,34,0.5162,,0.4179,0.0834,0.3527,0.6798,0.6011,0.8529,6.1875,"2023,2024"
judge_caption,t-pierce-1,Tim Pierce,,,CG,,30,0.5264,,0.4156,0.1019,0.3267,0.7261,0.6587,0.9,5.1671,"2019,2022"
judge_caption,j-bell-1,John Bell,,,MA,,124,0.4409,,0.4141,0.0668,0.3099,0.5718,0.6962,0.7903,6.5991,"2013,2014,2015,2016,2017,2018,2019,2022,2024"
judge_caption,t-hall-1,Troy Hall,,,MP,,161,0.4325,,0.412,0.0562,0.3222,0.5427,0.6878,0.8075,7.6909,"2015,2016,2017,2018,2019,2022,2023"
judge_caption,s-calhoun-1,Steve Calhoun,,,GE2,,72,0.4577,,0.4119,0.0899,0.2815,0.6339,0.6944,0.8056,5.0904,"2015,2016,2017,2018"
judge_caption,c-dillon-1,Christine Dillon,,,VA,,89,0.4436,,0.407,0.1115,0.2251,0.6621,0.8727,0.7079,3.9795,"2013,2014,2015,2016,2017,2022,2023,2024"
judge_caption,r-overvliet-1,Robby Overvliet,,,VP,,76,0.4493,,0.4065,0.1037,0.2461,0.6525,0.8509,0.7237,4.3335,"2014,2015,2019"
judge_caption,g-boulden-1,George Boulden,,,MA,,88,0.4409,,0.4042,0.0784,0.2872,0.5945,0.6718,0.8636,5.6242,"2015,2016,2017,2018"
judge_caption,j-harper-1,Jeff Harper,,,GE2,,198,-0.4196,,-0.4033,0.0799,-0.5763,-0.2629,0.7787,0.4899,-5.2488,"2013,2014,2015,2016,2017,2018,2022,2023"
judge_caption,t-landess-1,Tim Landess,,,CG,,128,-0.4271,,-0.402,0.1401,-0.7017,-0.1526,1.2036,0.625,-3.049,"2019,2022,2023,2024"
judge_caption,m-czapinksi-1,Marie Czapinksi,,,GE1,,203,-0.4159,,-0.4002,0.1334,-0.6774,-0.1545,1.0831,0.6108,-3.1182,"2013,2014,2015,2022"
judge_caption,k-shuttlesworth-1,Kim Shuttlesworth,,,MB,,88,0.4362,,0.3998,0.112,0.2167,0.6556,0.8726,0.8182,3.8952,"2019,2022,2024,2025"
judge_caption,l-eubanks-1,Lynda Eubanks,,,MA,,40,0.4784,,0.3987,0.1373,0.2093,0.7475,0.7915,0.825,3.4847,"2013,2014,2015"
judge_caption,j-campbell-1,Jackie Campbell,,,CG,,117,0.4209,,0.394,0.0757,0.2726,0.5693,0.7105,0.8462,5.5609,"2023,2024,2025"
judge_caption,c-clayton-fisher-1,Christine Clayton Fisher,,,GE1,,42,0.4573,,0.3841,0.1265,0.2092,0.7053,0.7315,0.7857,3.6133,"2014,2023,2024"
judge_caption,b-huneycutt-1,Brad Huneycutt,,,MA,,41,0.4584,,0.3836,0.078,0.3055,0.6114,0.5673,0.878,5.8755,"2019,2022,2023"
judge_caption,t-wingate-1,Travis Wingate,,,VA,,221,0.3927,,0.379,0.0325,0.329,0.4564,0.5091,0.8462,12.0851,"2019,2022,2023,2024,2025"
judge_caption,b-spidel-1,Brandon Spidel,,,VA,,30,0.4792,,0.3783,0.1734,0.1393,0.8191,0.9605,0.8333,2.7632,"2019,2022,2024"
judge_caption,j-pursifull-1,Jack Pursifull,,,VA,,146,0.3985,,0.3778,0.0357,0.3285,0.4685,0.4838,0.863,11.1577,"2022,2023,2024,2025"
judge_caption,t-slaughter-1,Tom Slaughter,,,GE1,,30,0.4777,,0.3772,0.052,0.3758,0.5797,0.4928,0.9333,9.1812,"2022,2023,2024,2025"
judge_caption,t-johnston-1,Tim Johnston,,,MA,,35,-0.4611,,-0.3753,0.2154,-0.8832,-0.0389,0.9053,0.5429,-2.1406,"2016,2017,2018,2019"
judge_caption,d-orser-1,David Orser,,,MB,,114,0.4005,,0.3742,0.0591,0.2846,0.5163,0.6091,0.8246,6.7737,"2017,2018,2019,2022,2023,2024,2025"
judge_caption,s-calhoun-1,Steve Calhoun,,,MA,,68,0.4161,,0.3723,0.0968,0.2265,0.6058,0.6832,0.7941,4.2999,"2013,2015,2016,2017,2018"
judge_caption,j-rhodes-1,Jodie Rhodes,,,MA,,46,-0.4345,,-0.3702,0.189,-0.805,-0.0641,0.9053,0.587,-2.2992,"2019,2022,2023,2025"
judge_caption,a-cook-1,Andrew Cook,,,MA,,161,-0.3851,,-0.3669,0.1387,-0.657,-0.1133,1.2309,0.6522,-2.7765,"2013,2014,2015,2016,2017,2018,2022,2024,2025"
judge_caption,j-denton-1,Joel Denton,,,MA,,42,0.4353,,0.3657,0.059,0.3197,0.5509,0.5285,0.9524,7.3819,"2013,2015,2016,2024"
judge_caption,l-carlson-1,Lee Carlson,,,VA,,44,-0.4305,,-0.3642,0.2371,-0.8952,0.0342,1.0821,0.5909,-1.8156,"2013,2014,2016"
judge_caption,c-rothe-1,Caleb Rothe,,,MA,,121,-0.387,,-0.363,0.133,-0.6477,-0.1263,1.0402,0.5289,-2.9099,"2013,2014,2015,2016,2017,2019,2023,2024"
judge_caption,m-anderson-1,Mike Anderson,,,CG,,49,0.4212,,0.3621,0.1353,0.156,0.6864,0.8501,0.7959,3.1129,"2014,2015,2018"
judge_caption,c-costanza-1,Curtis Costanza,,,GE1,,274,0.3724,,0.3618,0.0747,0.2259,0.5189,0.9685,0.7044,4.9822,"2013,2014,2015,2016,2018,2019,2022,2023,2024,2025"
judge_caption,j-rhodes-1,Jodie Rhodes,,,GE2,,274,0.371,,0.3604,0.055,0.2632,0.4787,0.6875,0.8139,6.7496,"2022,2023,2024,2025"
judge_caption,w-rickart-1,Warren Rickart,,,CG,,185,0.369,,0.3537,0.0577,0.2558,0.4821,0.6157,0.8054,6.3914,"2019,2022,2023,2024,2025"
judge_caption,k-baker-1,Keith Baker,,,VP,,153,0.3655,,0.3474,0.0616,0.2447,0.4864,0.6767,0.7582,5.9305,"2013,2014,2015,2016,2017,2018,2022"
judge_caption,t-cole-1,Tim Cole,,,VP,,37,0.4222,,0.3472,0.1162,0.1944,0.65,0.6814,0.7568,3.6333,"2014,2015"
judge_caption,a-snipes-1,Aaron Snipes,,,GE2,,68,0.3864,,0.3457,0.0881,0.2137,0.5591,0.6372,0.8824,4.3859,"2024,2025"
judge_caption,w-whaley-1,WL Whaley,,,MA,,44,0.4083,,0.3455,0.1295,0.1545,0.6621,0.7338,0.8864,3.1529,"2013,2014,2015,2018"
judge_caption,m-mcgahey-1,Mark McGahey,,,MA,,122,-0.3679,,-0.3453,0.132,-0.6266,-0.1093,0.949,0.5902,-2.7883,"2014,2015,2016,2017,2024"
judge_caption,m-tarr-1,Mike Tarr,,,GE1,,59,-0.3836,,-0.3378,0.1893,-0.7547,-0.0126,1.0296,0.6102,-2.0267,"2022,2023,2024,2025"
judge_caption,k-giese-1,Ken Giese,,,VP,,100,-0.3627,,-0.3359,0.1791,-0.7137,-0.0117,1.1881,0.61,-2.0255,"2013,2014,2015,2016"
judge_caption,m-davis-1,Mike Davis,,,MP,,497,0.3408,,0.3354,0.0428,0.2569,0.4247,0.7683,0.7807,7.9627,"2013,2014,2015,2016,2017,2018,2019,2022,2023,2024,2025"
judge_caption,m-kelly-1,Mickey Kelly,,,GE1,,433,-0.3408,,-0.3346,0.0708,-0.4796,-0.2019,0.8726,0.6513,-4.8107,"2013,2014,2015,2016,2017,2018,2019"
judge_caption,b-fabrizio-1,Beth Fabrizio,,,GE2,,65,0.3757,,0.3346,0.1289,0.1231,0.6283,0.8866,0.7385,2.9154,"2013,2016,2018,2019,2022,2023"
judge_caption,b-brahan-1,Beverly Brahan,,,CG,,116,0.356,,0.3331,0.0584,0.2415,0.4705,0.5697,0.8362,6.0949,"2022,2023,2024,2025"
judge_caption,t-hall-1,Troy Hall,,,MA,,61,0.3747,,0.3313,0.0713,0.235,0.5144,0.5137,0.7213,5.2579,"2016,2017,2018,2022"
judge_caption,k-turner-1,Ken Turner,,,GE2,,384,0.3377,,0.3308,0.0467,0.2461,0.4293,0.7339,0.7734,7.2253,"2013,2014,2015,2016,2017,2018,2019,2022,2023,2024,2025"
judge_caption,t-slaughter-1,Tom Slaughter,,,VA,,217,0.3412,,0.329,0.0541,0.2351,0.4473,0.6132,0.8525,6.303,"2019,2022,2023,2024,2025"
judge_caption,r-isoda-1,Randolph Isoda,,,GE2,,108,0.3527,,0.3283,0.1098,0.1374,0.5679,0.9831,0.6759,3.2109,"2013,2016,2017,2018"
judge_caption,s-adamo-1,Sal Adamo,,,GE1,,89,0.3559,,0.3265,0.0399,0.2777,0.434,0.4336,0.8989,8.9259,"2013,2014,2016,2017,2018,2019,2022,2024,2025"
judge_caption,t-wemhoff-1,Ted Wemhoff,,,CG,,32,0.4067,,0.3253,0.0968,0.217,0.5963,0.6197,0.7813,4.2027,2018
judge_caption,k-baker-1,Keith Baker,,,GE1,,163,0.3404,,0.3245,0.0584,0.226,0.4548,0.6243,0.7607,5.832,"2013,2016,2017,2019,2022,2023,2024,2025"
judge_caption,r-kemp-1,Richard Kemp,,,GE1,,424,-0.3255,,-0.3194,0.0699,-0.4624,-0.1885,0.8873,0.559,-4.658,"2013,2014,2015,2016,2017,2018,2019"
judge_caption,k-kuhn-1,Kim Kuhn,,,CG,,71,-0.3553,,-0.3193,0.1592,-0.6674,-0.0432,0.9981,0.493,-2.2316,"2016,2017,2018,2019,2022,2023"
judge_caption,j-tate-1,Jeremy Tate,,,VA,,51,0.3678,,0.318,0.0922,0.1871,0.5486,0.6505,0.7059,3.9895,"2022,2023,2024,2025"
judge_caption,j-webb-1,Jay Webb,,,GE2,,234,-0.3261,,-0.3153,0.0781,-0.4791,-0.1731,0.7292,0.5043,-4.1768,"2013,2014,2015,2018,2019,2022,2023,2024,2025"
judge_caption,t-wemhoff-1,Ted Wemhoff,,,VA,,44,0.3722,,0.315,0.0852,0.2052,0.5392,0.5638,0.8182,4.3685,"2018,2022,2023"
judge_caption,j-orefice-1,Juno Orefice,,,VA,,166,0.3292,,0.3141,0.0883,0.1561,0.5024,0.9415,0.7651,3.7267,"2013,2014,2015,2016,2017,2018,2019,2022,2023,2025"
judge_caption,f-morris-1,Frank Morris,,,VP,,57,0.3581,,0.314,0.1242,0.1146,0.6015,0.7973,0.7719,2.883,"2013,2014,2015"
judge_caption,j-allison-dma-1,Joseph Allison DMA,,,GE2,,80,-0.343,,-0.3118,0.1421,-0.6215,-0.0644,0.8291,0.5375,-2.4129,2013
judge_caption,k-baker-1,Keith Baker,,,CG,,48,0.3628,,0.311,0.1515,0.066,0.6597,0.8019,0.75,2.3955,"2013,2014,2015,2018,2023,2024"
judge_caption,t-hall-1,Troy Hall,,,GE2,,40,0.3731,,0.3109,0.2053,-0.0292,0.7755,0.9835,0.675,1.8176,"2016,2017,2018,2019"
judge_caption,m-waymire-1,Mark Waymire,,,GE2,,234,0.3208,,0.3102,0.0457,0.2313,0.4104,0.5863,0.7778,7.019,"2015,2016,2017,2018,2019,2022,2023"
judge_caption,s-page-1,Steven Page,,,MA,,59,0.3513,,0.3094,0.0822,0.1901,0.5125,0.5734,0.8305,4.2713,"2014,2015,2019,2022,2023,2024"
judge_caption,t-fox-1,Todd Fox,,,MP,,278,0.3164,,0.3076,0.0388,0.2403,0.3925,0.5643,0.7734,8.1482,"2013,2014,2016,2017,2019,2022,2023,2024"
judge_caption,j-brooks-1,Jeff Brooks,,,MP,,396,0.3114,,0.3053,0.0578,0.1982,0.4247,0.9213,0.7828,5.3908,"2018,2019,2022,2023,2024,2025"
