estimator,division,metric,group,count,mean,sd,mae,rmse,medianAbs,p75Abs,p90Abs,p95Abs,min,max,impliedObservationSigma,impliedNormalMae,note
adjacent_show_delta,Open Class,MB,gap<=7d,1840,0.194728,0.641089,0.502391,0.669843,0.4,0.7,1.1,1.3,-3.5,2.8,0.453318,0.361695,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,MA,all,2010,0.25398,0.799886,0.59495,0.83905,0.4,0.8,1.305,1.7275,-4.3,4.1,0.565605,0.451287,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,MA,gap<=14d,1944,0.204295,0.743597,0.554578,0.770966,0.4,0.75,1.2,1.6,-4.3,3.3,0.525803,0.41953,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,MA,gap<=3d,1632,0.124602,0.702298,0.507721,0.713053,0.4,0.7,1.1,1.4,-4.3,3.3,0.496599,0.396229,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,MA,gap<=7d,1840,0.164022,0.708487,0.521495,0.727038,0.4,0.7,1.1,1.4025,-4.3,3.3,0.500976,0.399721,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,MP,all,2010,0.271704,0.818152,0.613943,0.861895,0.4,0.8,1.5,1.8,-4.1,3.7,0.578521,0.461593,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,MP,gap<=14d,1944,0.220152,0.768089,0.573392,0.798827,0.4,0.8,1.3,1.7,-4.1,3.7,0.543121,0.433348,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,MP,gap<=3d,1632,0.12739,0.706099,0.511581,0.717286,0.4,0.7,1.1,1.5,-4.1,2.8,0.499288,0.398374,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,MP,gap<=7d,1840,0.178139,0.729167,0.540693,0.750419,0.4,0.7,1.2,1.6,-4.1,2.8,0.515599,0.411389,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,TOTAL,all,2010,1.387129,2.934877,2.108921,3.245512,1.45,2.5,4.3038,7.1275,-20.05,14.5,2.075272,1.655827,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,TOTAL,gap<=14d,1944,1.117273,2.530704,1.86357,2.765767,1.4,2.3,3.6925,4.97125,-20.05,11.75,1.789478,1.427797,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,TOTAL,gap<=3d,1632,0.66421,2.195447,1.506154,2.293079,1.225,2,2.8,3.4,-20.05,5.75,1.552416,1.238648,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,Open Class,TOTAL,gap<=7d,1840,0.899921,2.328295,1.681009,2.49557,1.3,2.15,3.25,4.1525,-20.05,11.1,1.646353,1.3136,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,GE1,all,4847,0.194718,0.436348,0.351712,0.477782,0.3,0.5,0.75,0.9675,-2,2.7,0.308544,0.246183,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,GE1,gap<=14d,4840,0.192624,0.432722,0.349845,0.473618,0.3,0.5,0.75,0.9025,-2,2.7,0.305981,0.244138,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,GE1,gap<=3d,4253,0.155102,0.389395,0.317823,0.419105,0.25,0.45,0.7,0.85,-2,2,0.275344,0.219692,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,GE1,gap<=7d,4784,0.180529,0.414698,0.339465,0.452249,0.3,0.5,0.7,0.9,-2,2.4,0.293236,0.233968,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,GE2,all,4847,0.191974,0.446266,0.357128,0.485764,0.3,0.5,0.8,1,-1.9,3.1,0.315558,0.251779,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,GE2,gap<=14d,4840,0.190165,0.443299,0.355558,0.482324,0.3,0.5,0.8,1,-1.9,3.1,0.31346,0.250105,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,GE2,gap<=3d,4253,0.156654,0.412939,0.33052,0.44161,0.25,0.5,0.7,0.9,-1.9,2.7,0.291992,0.232976,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,GE2,gap<=7d,4784,0.180675,0.425043,0.345955,0.461809,0.3,0.5,0.75,0.95,-1.9,2.7,0.300551,0.239805,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,VP,all,4847,0.196596,0.467422,0.377553,0.507038,0.3,0.5,0.8,1,-2.1,2.9,0.330517,0.263714,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,VP,gap<=14d,4840,0.195103,0.465306,0.376322,0.50451,0.3,0.5,0.8,1,-2.1,2.9,0.329021,0.262521,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,VP,gap<=3d,4253,0.153268,0.428554,0.34391,0.455089,0.3,0.5,0.7,0.9,-2.1,2.2,0.303033,0.241785,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,VP,gap<=7d,4784,0.184082,0.449268,0.36667,0.485475,0.3,0.5,0.8,1,-2.1,2.5,0.317681,0.253473,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,VA,all,4847,0.199329,0.491419,0.385857,0.53026,0.3,0.5,0.8,1.1,-2.5,3.4,0.347486,0.277254,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,VA,gap<=14d,4840,0.197448,0.489036,0.384246,0.527345,0.3,0.5,0.8,1.1,-2.5,3.4,0.345801,0.275909,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,VA,gap<=3d,4253,0.154009,0.440029,0.348789,0.466153,0.3,0.5,0.7,0.95,-2.5,2,0.311147,0.24826,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,VA,gap<=7d,4784,0.187051,0.47248,0.374279,0.508113,0.3,0.5,0.8,1,-2.5,3.4,0.334094,0.266568,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,CG,all,4847,0.202919,0.478127,0.375438,0.51936,0.3,0.5,0.8,1,-2.4,3.2,0.338087,0.269754,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,CG,gap<=14d,4840,0.200176,0.472543,0.372944,0.513148,0.3,0.5,0.8,1,-2.4,3.2,0.334138,0.266604,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,CG,gap<=3d,4253,0.161157,0.425676,0.339407,0.455114,0.3,0.5,0.7,0.9,-2.4,2.5,0.300998,0.240162,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,CG,gap<=7d,4784,0.187051,0.449696,0.361549,0.487003,0.3,0.5,0.8,1,-2.4,2.6,0.317983,0.253714,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,MB,all,4847,0.203776,0.44632,0.362575,0.490597,0.3,0.5,0.8,1,-1.7,3.2,0.315596,0.251809,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,MB,gap<=14d,4840,0.202211,0.444269,0.36124,0.488081,0.3,0.5,0.8,1,-1.7,3.2,0.314145,0.250652,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,MB,gap<=3d,4253,0.166976,0.397953,0.327051,0.431521,0.3,0.5,0.7,0.9,-1.7,3.1,0.281395,0.224521,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,MB,gap<=7d,4784,0.191231,0.426584,0.351118,0.467445,0.3,0.5,0.8,1,-1.7,3.1,0.30164,0.240674,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,MA,all,4847,0.196983,0.479328,0.376836,0.51818,0.3,0.5,0.8,1.05,-2.9,3.1,0.338936,0.270432,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,MA,gap<=14d,4840,0.195181,0.477174,0.375294,0.515504,0.3,0.5,0.8,1.00125,-2.9,3.1,0.337413,0.269217,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,MA,gap<=3d,4253,0.150652,0.431301,0.342717,0.456807,0.3,0.5,0.7,0.9,-2.9,2,0.304976,0.243335,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,MA,gap<=7d,4784,0.183178,0.46033,0.365275,0.495392,0.3,0.5,0.8,1,-2.9,3,0.325502,0.259713,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,MP,all,4847,0.195832,0.556958,0.433536,0.59033,0.3,0.6,0.9,1.2,-3.7,3.7,0.393829,0.31423,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,MP,gap<=14d,4840,0.193574,0.554047,0.431622,0.586835,0.3,0.6,0.9,1.2,-3.7,3.7,0.39177,0.312587,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,MP,gap<=3d,4253,0.160951,0.514082,0.401534,0.538631,0.3,0.6,0.8,1.1,-3.7,3.1,0.363511,0.290039,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,MP,gap<=7d,4784,0.185138,0.543224,0.423986,0.573852,0.3,0.6,0.9,1.2,-3.7,3.7,0.384117,0.306481,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,TOTAL,all,4847,0.984415,1.266793,1.172498,1.604215,0.95,1.55,2.3428,3.0175,-4.3,11.3,0.895758,0.714711,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,TOTAL,gap<=14d,4840,0.97464,1.239913,1.162996,1.577019,0.95,1.55,2.3133,3,-4.3,11.3,0.876751,0.699546,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,TOTAL,gap<=3d,4253,0.785264,0.950728,0.984809,1.233009,0.85,1.4,2,2.35,-4.3,5.3,0.672266,0.536391,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
adjacent_show_delta,World Class,TOTAL,gap<=7d,4784,0.920074,1.101408,1.109798,1.435055,0.925,1.525,2.25,2.8,-4.3,8.9,0.778813,0.621403,Consecutive same-corps show deltas. This is an upper-bound volatility proxy because it includes real improvement and panel/show-context changes.
centered_interpolation_oracle,Open Class,GE1,all,1787,0.015599,0.571704,0.416517,0.571756,0.314187,0.566667,0.933333,1.2,-3,2.85,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,GE1,surrounding_gap<=14d,1614,0.021774,0.562073,0.409825,0.562321,0.301342,0.566667,0.912727,1.15,-3,2.85,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,GE1,surrounding_gap<=21d,1741,0.016205,0.572745,0.416535,0.572809,0.313636,0.566667,0.933333,1.2,-3,2.85,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,GE1,surrounding_gap<=7d,1405,0.030387,0.548234,0.402055,0.548881,0.3,0.55,0.9,1.124,-3,2.85,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,GE2,all,1787,0.017977,0.542548,0.385862,0.542694,0.28,0.512143,0.866667,1.141167,-3.516667,4.121429,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,GE2,surrounding_gap<=14d,1614,0.027509,0.528166,0.375805,0.528719,0.273611,0.5,0.85,1.1,-3.516667,4.121429,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,GE2,surrounding_gap<=21d,1741,0.021307,0.537638,0.383571,0.537906,0.28,0.5,0.866667,1.133333,-3.516667,4.121429,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,GE2,surrounding_gap<=7d,1405,0.036677,0.502434,0.362664,0.503592,0.266667,0.5,0.815714,1.05,-3.516667,2.842857,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,VP,all,1787,0.01103,0.528114,0.38188,0.528082,0.276923,0.5,0.84,1.133333,-2.9,2.710526,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,VP,surrounding_gap<=14d,1614,0.020828,0.523358,0.378332,0.52361,0.271429,0.5,0.833333,1.133333,-2.9,2.633333,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,VP,surrounding_gap<=21d,1741,0.013114,0.528893,0.381445,0.528904,0.275,0.5,0.833333,1.133333,-2.9,2.710526,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,VP,surrounding_gap<=7d,1405,0.023228,0.518658,0.37352,0.518994,0.266667,0.5,0.833333,1.130667,-2.9,2.633333,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,VA,all,1787,0.013158,0.580162,0.409313,0.580149,0.3,0.55,0.928333,1.215556,-3.266667,2.542857,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,VA,surrounding_gap<=14d,1614,0.022709,0.560274,0.399813,0.56056,0.3,0.537018,0.869259,1.141875,-3.266667,2.525,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,VA,surrounding_gap<=21d,1741,0.012244,0.580227,0.409065,0.580189,0.3,0.55,0.9,1.222222,-3.266667,2.542857,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,VA,surrounding_gap<=7d,1405,0.038357,0.545202,0.392139,0.546356,0.3,0.533333,0.866667,1.1,-3.266667,2.525,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,CG,all,1787,0.022498,0.584876,0.402385,0.585145,0.266667,0.55,0.939333,1.3,-2.7,3.392214,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,CG,surrounding_gap<=14d,1614,0.039368,0.561224,0.387871,0.56243,0.266667,0.532353,0.9,1.266667,-2.7,3,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,CG,surrounding_gap<=21d,1741,0.028531,0.584512,0.401314,0.58504,0.266667,0.55,0.94,1.3,-2.7,3.392214,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,CG,surrounding_gap<=7d,1405,0.034375,0.534393,0.369976,0.535308,0.25,0.5,0.839048,1.173333,-2.7,3,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,MB,all,1787,0.021321,0.482408,0.358334,0.482744,0.266667,0.519063,0.8,0.984665,-2.088235,2.166667,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,MB,surrounding_gap<=14d,1614,0.02463,0.472609,0.351568,0.473104,0.266667,0.5,0.8,0.95,-1.945399,2.166667,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,MB,surrounding_gap<=21d,1741,0.018905,0.478521,0.356808,0.478757,0.266667,0.515789,0.8,0.966667,-2.088235,2.166667,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,MB,surrounding_gap<=7d,1405,0.033006,0.460163,0.342163,0.461182,0.26,0.5,0.766667,0.949412,-1.733333,2.166667,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,MA,all,1787,0.009254,0.544073,0.400733,0.543999,0.3,0.566667,0.9,1.121111,-3.15,2.152381,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,MA,surrounding_gap<=14d,1614,0.022073,0.527214,0.387434,0.527512,0.3,0.55,0.866667,1.093659,-3.15,2.033333,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,MA,surrounding_gap<=21d,1741,0.01587,0.539993,0.39811,0.540071,0.3,0.5625,0.9,1.116667,-3.15,2.152381,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,MA,surrounding_gap<=7d,1405,0.024998,0.512635,0.375878,0.513062,0.283333,0.52963,0.85,1.082946,-3.15,2.033333,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,MP,all,1787,0.026241,0.571945,0.412858,0.572387,0.3,0.575,0.90839,1.2,-2.45,2.595238,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,MP,surrounding_gap<=14d,1614,0.030565,0.560929,0.406332,0.561588,0.3,0.566667,0.9,1.181357,-2.45,2.315385,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,MP,surrounding_gap<=21d,1741,0.024756,0.571697,0.410947,0.572069,0.3,0.572222,0.907317,1.2,-2.45,2.595238,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
centered_interpolation_oracle,Open Class,MP,surrounding_gap<=7d,1405,0.02229,0.537627,0.388344,0.537898,0.283333,0.533333,0.85,1.115556,-2.45,2.301538,,,"Post-hoc linear interpolation between previous and next shows. This uses future data, so it is an optimistic smooth-trajectory residual proxy rather than a deployable model."
